DIST_code,original_FM40_code,new_FM40_code
111,GR,GR
111,GS,GR
111,SH,GR
111,TU,GR
111,TL,GR
111,SB,GR
112,GR,GR
112,GS,GR
112,SH,GR
112,TU,GR
112,TL,GR
112,SB,GR
113,GR,GR
113,GS,GS
113,SH,SH
113,TU,GR
113,TL,GR
113,SB,GR
121,GR,GR
121,GS,GR
121,SH,GS
121,TU,TU
121,TL,TL
121,SB,SB
122,GR,GR
122,GS,GS
122,SH,SH
122,TU,TU
122,TL,TL
122,SB,SB
123,GR,GR
123,GS,GS
123,SH,SH
123,TU,TU
123,TL,TL
123,SB,SB
131,GR,GR
131,GS,GS
131,SH,SH
131,TU,TU
131,TL,TL
131,SB,SB
132,GR,GR
132,GS,GS
132,SH,SH
132,TU,TU
132,TL,TL
132,SB,SB
133,GR,GR
133,GS,GS
133,SH,SH
133,TU,TU
133,TL,TL
133,SB,SB
