DIST_code,original_FM40_code,new_FM40_code
111,GR,GR
111,GS,GR
111,SH,GR
111,TU,GR
111,TL,GR
111,SB,GR
112,GR,GR
112,GS,GR
112,SH,GR
112,TU,GR
112,TL,GR
112,SB,GR
113,GR,GR
113,GS,GR
113,SH,GR
113,TU,GR
113,TL,GR
113,SB,GR
121,GR,GR
121,GS,GR
121,SH,GR
121,TU,GR
121,TL,GR
121,SB,GR
122,GR,GR
122,GS,GR
122,SH,GR
122,TU,GR
122,TL,GR
122,SB,GR
123,GR,GR
123,GS,GR
123,SH,GR
123,TU,GR
123,TL,GR
123,SB,GR
131,GR,GR
131,GS,GR
131,SH,GR
131,TU,GR
131,TL,GR
131,SB,GR
132,GR,GR
132,GS,GR
132,SH,GR
132,TU,GR
132,TL,GR
132,SB,GR
133,GR,GR
133,GS,GR
133,SH,GR
133,TU,GR
133,TL,GR
133,SB,GR
